"相对路径","大小_字节","SHA256"
"2、源程序\问题三\q2_solve.py","30806","930A76F4DAE170DCAB8A9F83AE894A8E5D294E26EE51307E19DF15875F1E6851"
"2、源程序\问题三\q3_a08_settlement_sensitivity.py","10452","C38033AEADB31637267CFA8E7AD4299718C6F50DF6544B4DC2DCC33DC26B9DE9"
"2、源程序\问题三\q3_alpha_time_order_calibration.py","20558","FC90E9CF6B184B2B44568E31BF42FFE4AECAC1AE80BB130A50199E6254B18115"
"2、源程序\问题三\q3_load_feedback_candidate.py","17880","4BE7A179BD91AB7579C6A0ED094046C3811348E0DC9D6263AB9E23D54B8504A3"
"2、源程序\问题三\q3_p0_a08_reoptimization.py","4164","6AA7E2B66D801F249A68026A7485FC0EC14940184646A71B5C8C480933D6AF93"
"2、源程序\问题三\q3_p1_load_feedback_ablation.py","7724","6B0C49536F1CDB32EE8126B3F7107215AFFC4E0939FF3448C498F5CAC43B6289"
"2、源程序\问题三\q3_p3_alpha05_selected.py","3399","1F48799FA712CB9F986784E648AC64A62E5C5024E10DE64CE591674EE4833A6C"
"2、源程序\问题三\q3_p3_information_ablation.py","7601","330E6E8E15A88E05971005843C6E7841D4A3BB8A101A9102FF3B43BEC43B0352"
"2、源程序\问题三\q3_solve.py","35271","AE514ABA1D7A9E17229060E3EED3233DE969C3822E0CC87E37138FA4B451D3C0"
"2、源程序\问题三\refinement_common.py","10158","35697D584B6E2F09397320DA34B09C1954D2849D85035E9120BA87515276354F"
"2、源程序\问题三\validate_alpha05_promotion.py","12904","0C757DC7A3536FCDC35C1C5B43CCBA9EF3B390DE2FFED5F45842EEBA5554BE12"
"2、源程序\问题三\validate_q3_alpha_calibration.py","9623","8211E9AF734846F36798356DF27EAAC57B221B12898C79D0650820EE6299353C"
"2、源程序\问题三\validate_q3_independent.py","13406","27E3EC5E59D9E23849F37DA2A658611A3FB938157E55C79096BC7B238D1C4A7B"
"2、源程序\问题三\validate_q3_load_feedback_candidate.py","9612","1964953E88E7F56D607BFB3AB496D1C8FFB1C0CDFA7D4B5F45C76360BEF80EA7"
"2、源程序\问题四\build_result2.mjs","11367","0A924D3FF0159D0EA738F6B268C6AE025C3AD6BCD805DE71E1FA02EEE6471361"
"2、源程序\问题四\build_result3.mjs","11939","536C6AA9AC84C84FDEA9F90EA5447A1F928CB774CA672081577E993D9823E466"
"2、源程序\问题四\common_data.py","8444","E2E18CF7C37D1140AC4B3F2CB39BA4785450E5509654C60A98081D59F3166BB0"
"2、源程序\问题四\dispatch_core.py","13505","DBF07559036F92733B8652D3310A22DFE729579BAA4C314B2600EA793E9A9D66"
"2、源程序\问题四\final_promote_alpha05.py","21236","44C544E79E54B9B36D6CB3F404112439530BF5D3CAB129FA4B808D74C113B48E"
"2、源程序\问题四\freeze_q3_q4_refinement.py","5487","5B2733D46911DBE51E41150DE5631406011E135C1BC17911C0812C18DF1234AC"
"2、源程序\问题四\freeze_q4.py","2157","44F5C841FBD55E73A642AA571C42F17FCDCF10444D2E4151397531ED0CE1AF63"
"2、源程序\问题四\q2_solve.py","30806","930A76F4DAE170DCAB8A9F83AE894A8E5D294E26EE51307E19DF15875F1E6851"
"2、源程序\问题四\q3_p1_load_feedback_ablation.py","7724","6B0C49536F1CDB32EE8126B3F7107215AFFC4E0939FF3448C498F5CAC43B6289"
"2、源程序\问题四\q3_solve.py","35271","AE514ABA1D7A9E17229060E3EED3233DE969C3822E0CC87E37138FA4B451D3C0"
"2、源程序\问题四\q4_p2_alpha05_transfer.py","3496","F428E9913B4EE9061971031C7A6195D491B9E3ECBD52C5D155B6002F3B94C3A3"
"2、源程序\问题四\q4_p2_feedback_price_2x2.py","5003","8BD76EE5596E6E843119721AC2A2E7CD6146A05F11326A0EF90438CBBD8F9A60"
"2、源程序\问题四\q4_p4_evening_soc_reserve.py","11903","DD6AB893B34267298CA731FFFFD8CB31C8B45C404AB79666F00BAB95666F224C"
"2、源程序\问题四\q4_solve.py","18603","145E6A2FB0A206CA066597B17D3B31B34938D540BEBB9C9A69DEC9D7F028A169"
"2、源程序\问题四\refinement_common.py","10158","35697D584B6E2F09397320DA34B09C1954D2849D85035E9120BA87515276354F"
"2、源程序\问题四\validate_alpha05_promotion.py","12904","0C757DC7A3536FCDC35C1C5B43CCBA9EF3B390DE2FFED5F45842EEBA5554BE12"
"2、源程序\问题四\validate_q3_q4_refinement.py","12148","2D42227AB8F9DF58B47A2983118D73A21476068DAE041706471415ED881263DB"
"2、源程序\问题四\validate_q4_independent.py","10023","6C86AB47937833335FA4860CEC3B99635059FDC0046FE24DA5821F73F4B9F41B"
"2、源程序\问题一\build_result1.mjs","7369","6FD9CFF5C11EAF419362B633F5224EF9F8B9C54E2E53A78C96ED67A836FF21D3"
"2、源程序\问题一\common_data.py","8444","E2E18CF7C37D1140AC4B3F2CB39BA4785450E5509654C60A98081D59F3166BB0"
"2、源程序\问题一\dispatch_core.py","13505","DBF07559036F92733B8652D3310A22DFE729579BAA4C314B2600EA793E9A9D66"
"2、源程序\问题一\q1_solve.py","19543","FA4C4209146C532390AE2470552045D4390E46FEE63B46E66B0AF354EB3A5F14"
"2、源程序\问题一\validate_q1_independent.py","5987","6AD14D69FB27B27244E50FECE535A96C26817ABC95A94E0DB4004A07A7440DD4"
"2、源程序\README_程序运行说明.pdf","177611","1BC1504EF5481F3449E3ABFBE02EB3C60036084073B1B35A1F839BD576E72D18"
"3、补充结果与图表\其他较大篇幅中间结果\验证记录\q1_independent_recompute.json","1572","CD773899F957F2C982A77F715AA0DD7BCBEA437CEBA611A91D0E5E8BBFAFBF8F"
"3、补充结果与图表\其他较大篇幅中间结果\验证记录\q1_validation.json","3953","7AA1C241FA7CF4266A02AD12576DF1E4AC0DF81C56151E4EBE7C35D0D0B8B5E2"
"3、补充结果与图表\其他较大篇幅中间结果\验证记录\q2_independent_recompute.json","1722","5013F58D40CDC673FC270C6963FABAB12C9F79D287388B9DC429A3B36950EE81"
"3、补充结果与图表\其他较大篇幅中间结果\验证记录\q2_validation.json","9085","5565D48460D2D883D27F6FCEECA939304A2BC82814FABAC819E46D07089ACCE2"
"3、补充结果与图表\其他较大篇幅中间结果\验证记录\q3_independent_recompute.json","1565","4E15184582D1671B4F149B184AE49C9CC3FC55580A36D188488B15AC74C10C10"
"3、补充结果与图表\其他较大篇幅中间结果\验证记录\q3_validation.json","2433","18CD597C1E9E47B1E1C91A7049BFCF7DDFA68305810E6F4F46CCB24FAB2E2714"
"3、补充结果与图表\其他较大篇幅中间结果\验证记录\q4_2_validation.json","2181","E6CA7D6D7BBDBCB4413A86568760CD6814EAB40184E3CA616A623B6EBBF69879"
"3、补充结果与图表\其他较大篇幅中间结果\验证记录\q4_3_validation.json","2437","AF17FA6D8F5CD29E09D25A66DC9DDC79D2D3CEE5A26160342551030B18B8AA99"
"3、补充结果与图表\其他较大篇幅中间结果\验证记录\q4_independent_recompute.json","3318","6BEF5E77C49F7F596B2F105E1B87983BD3F007DC8B83DB664FE4D7F039598146"
"3、补充结果与图表\其他较大篇幅中间结果\验证记录\result1_workbook_validation.json","2491","4365113CD0643A4097604878C40C313B92635045E4A35937BEA02497507F1E32"
"3、补充结果与图表\其他较大篇幅中间结果\验证记录\result2_workbook_validation.json","5350","02B32E253E61236ABE7F78F50E73EDD914B4C9B9E2E1B3B7A9CDC3BECA2AB5C9"
"3、补充结果与图表\其他较大篇幅中间结果\验证记录\result3_workbook_validation.json","6988","6E14E17A92332F39D99689D52447BAA649AB240A61541571EAFDD431CB80E22E"
"3、补充结果与图表\其他较大篇幅中间结果\验证记录\result4-2_workbook_validation.json","5280","1DB4917D7D679FA248073282AD4ED0DD85FEAFBBA3AE1DFD01DC9389D18BEDE5"
"3、补充结果与图表\其他较大篇幅中间结果\验证记录\result4-3_workbook_validation.json","6961","E4B14EBDE44D4FC340022C74A3F73C52463084BEC93F8FCCB483157BAE6BDC39"
"3、补充结果与图表\求解流程图\四张求解流程.pptx","84033","21B532CEBD13BD475E7F1E33075268355CCC6D5CCE53AF0A0AAFB0FD493FA7FA"
"3、补充结果与图表\求解流程图\问题二求解流程.png","222568","1752A907A23809C3C3F5AD0D58D00772F855497BD05441B794248C0F4266F130"
"3、补充结果与图表\求解流程图\问题三求解流程.png","213319","71808D2EC64AA52998C611519780CD856A1F1E75732A7495963E09B3FA319DFD"
"3、补充结果与图表\求解流程图\问题四求解流程.png","451937","DB40E3339174F9ED06737C2384D0C938EFED9E0CABEDE0F329FCC17D0E87CCE9"
"3、补充结果与图表\求解流程图\问题一求解流程.png","263558","FF0C135A4D82C4E90E189B4F29F5D333B3B5F06043331C72467E8199A9E2A21D"
"3、补充结果与图表\求解流程图\总体流程图.png","584032","774306BBCED95941E72539647A1541C70F6FE23A801F1CB36766E0FFCC7DD3D6"
"3、补充结果与图表\求解流程图\总体流程图.pptx","23599","60A126F3F4FD53A5136F8C0232B2C177831131948DA82F9E7D22FD066A1E1519"
"3、补充结果与图表\图表说明与正文解读建议.md","5174","9C4B270A8CECB9C9D8FE291D2616B202C464F5FA2E864339FC6FB3ED9060E44C"
"3、补充结果与图表\问题二补充结果\论文配图及脚本\fig_7_1_2_q2_typical_day_q80.pdf","39616","A93D62F959CC72DC5887E4889B0888FD673B13D0B3679209D393C379DDE9548C"
"3、补充结果与图表\问题二补充结果\论文配图及脚本\fig_7_1_2_q2_typical_day_q80.png","224474","CB4ED55DA2FD457DE27143C10C41A3B884DD20CE19028073652839631A2C8823"
"3、补充结果与图表\问题二补充结果\论文配图及脚本\fig_7_4_q2_emergency_raincloud.pdf","100271","478597C8605114084E2CBCEB165BFD47568CBCC03712BE9955943646CDE09DCF"
"3、补充结果与图表\问题二补充结果\论文配图及脚本\fig_7_4_q2_emergency_raincloud.png","130237","53DBEB04A2233CC85DD3B70505ED960DBD114018C5786E4934E0E7C0141797F5"
"3、补充结果与图表\问题二补充结果\论文配图及脚本\fig_7_4_q2_quantile_tradeoff.pdf","30590","9656D7F3E6A45F57D9A0CC43E8487F6F78ACBB314B67A877F54FE089456ECE59"
"3、补充结果与图表\问题二补充结果\论文配图及脚本\fig_7_4_q2_quantile_tradeoff.png","136737","2D7182E4F3598E58899B37D508D728036B90705B590EEEF90843585D44644E91"
"3、补充结果与图表\问题二补充结果\论文配图及脚本\generate_fig_7_4_q2_quantile_tradeoff.m","4496","41680AA66910889A7B2A9F555D61D305C2E38F33514D2D641BF4B69AEAC19990"
"3、补充结果与图表\问题二补充结果\论文配图及脚本\generate_paper_figures.m","29925","A8C250FCC94839E84B4AB7DBACA6C8B7EBF72D81A2C597182440158F4A670B13"
"3、补充结果与图表\问题二补充结果\q2_candidate_robustness_validation.json","305","81FA3266DE257AEE2132672EFFD6788B7E066CE4EC914C8B6BFAD61A60B0B9F5"
"3、补充结果与图表\问题二补充结果\q2_candidate_robustness.json","24556","74315B3B112AA49E4B56E78378977FF70CD9CBF45F36066030F43F3ECC594FEA"
"3、补充结果与图表\问题二补充结果\q2_component_ablation_daily.csv","292979","6AE8FAADB21F825784C184C9C87256AFB3E24DF8AE443FB38B75FCEB1B8B0AC9"
"3、补充结果与图表\问题二补充结果\q2_component_ablation_independent.json","6947","A9BB1F704447F7D79CECDF262F8981F51EE81DC17A6F4CC44183A9F972A84DC2"
"3、补充结果与图表\问题二补充结果\q2_component_ablation_summary.json","11238","32F8B163D40220A39D66520052EDFD0AF9E3441C977A94CB92FF701138BE7391"
"3、补充结果与图表\问题二补充结果\q2_component_ablation_validation.json","423","4B4D71D75D3DD2A6E0CCCE992BD1FD9FAB94789EBDC41EA7AE95FDC5563EBF56"
"3、补充结果与图表\问题二补充结果\q2_online_route_crosscheck_validation.json","295","41E93BB2E58F6AB58AFF113FA9184F43CAF4A83AE91FCDB886A9402CF1BE4993"
"3、补充结果与图表\问题二补充结果\q2_online_route_crosscheck.json","11522","1E680DFA2DBA1CC3FF2DD5A7D349BA9F6045C21E7658710F99A71522C83AFC41"
"3、补充结果与图表\问题二补充结果\q2_risk_quantile_sensitivity\results.csv","1144","3A3DA28AB0834EA174B8BF3947E05B6FA6708BAED220DE2A2A33636A39CCDF8C"
"3、补充结果与图表\问题二补充结果\q2_risk_quantile_sensitivity\summary.md","1515","FB9D8F772CD290716E16D98C6CB0F2BD5740DF61EC8AA6C0B9085FE38422215B"
"3、补充结果与图表\问题二补充结果\q2_risk_quantile_sensitivity\validation.json","6188","5A306CC40F2AE934F37EC41C0739AAB243B757F28F838B9A5EEF73598BC73FB1"
"3、补充结果与图表\问题三消融与敏感性结果\论文配图及脚本\fig_8_3_q3_plan_heatmaps.pdf","124013","1E13F02506B548FCE33BFCAAADB214B8BF4386028D2A7123575B0D45617141A6"
"3、补充结果与图表\问题三消融与敏感性结果\论文配图及脚本\fig_8_3_q3_plan_heatmaps.png","136021","6FD99A39FDEBE270272701D1EE0A0A67C5EFD73745930BBB4FECEC10D6C18BD1"
"3、补充结果与图表\问题三消融与敏感性结果\论文配图及脚本\fig_8_3_q3_update_combinations.pdf","42695","A65EEE9FCBB8CBE1F056AD019650BBC51C55081D36F065284E5FDBB3CB6C983E"
"3、补充结果与图表\问题三消融与敏感性结果\论文配图及脚本\fig_8_3_q3_update_combinations.png","149670","11BCDFC4F6B3D046F75743BEEA296BE341CBF157968A3AF61C3AA79F40FB9C27"
"3、补充结果与图表\问题三消融与敏感性结果\论文配图及脚本\fig_8_4_q3_alpha_tradeoff.pdf","14504","697E6E3D4F61D54DC6B6B3022B3B8C43F81972E849978C0BC91E0493B7B4A792"
"3、补充结果与图表\问题三消融与敏感性结果\论文配图及脚本\fig_8_4_q3_alpha_tradeoff.png","105123","0EB1B63D306578F56BA81C121CD0BBC459B5C247214C9A7FE0BBDD12C6E72989"
"3、补充结果与图表\问题三消融与敏感性结果\论文配图及脚本\fig_8_4_q3_information_bubble_matrix.pdf","45400","F6AB22E5B2D8B8791810600309913E30CB30A5DA3481D6BC44ABAE9CED619BF8"
"3、补充结果与图表\问题三消融与敏感性结果\论文配图及脚本\fig_8_4_q3_information_bubble_matrix.png","179108","CF00996229669D7D72D4C02B999F4765377F95E46CEA843C8FA20FD1662958CE"
"3、补充结果与图表\问题三消融与敏感性结果\论文配图及脚本\generate_fig_8_3_q3_update_combinations.m","4312","CAD5CA832ECB58A7A0EF46A462C55500780F2051AC30BD7BE36595689F16C352"
"3、补充结果与图表\问题三消融与敏感性结果\论文配图及脚本\generate_fig_8_4_q3_information_bars.m","4278","EED113E23583C24FB6FBB31EECD84B2E6A8D6FF053CD517B0AF7EB45B28211D6"
"3、补充结果与图表\问题三消融与敏感性结果\论文配图及脚本\generate_paper_figures.m","29925","A8C250FCC94839E84B4AB7DBACA6C8B7EBF72D81A2C597182440158F4A670B13"
"3、补充结果与图表\问题三消融与敏感性结果\q3_a08_settlement_sensitivity.json","8386","F96E66DC29FE5C7ED2513F55CE3D693CAF024A92CBB5A2445D35C4D1D7AB371B"
"3、补充结果与图表\问题三消融与敏感性结果\q3_a08_settlement_validation.json","811","9BF751AD49493EC5E7EF9A29D93724199081820AFC74B31692F0462C1726D7CC"
"3、补充结果与图表\问题三消融与敏感性结果\q3_alpha_calibration\results\alpha_calibration_summary.json","95708","2BD6545BA00AB0C2EFA21E18CFDBB1B932E961D4E2D62C1DFA98ED2FE79C281B"
"3、补充结果与图表\问题三消融与敏感性结果\q3_alpha_calibration\results\alpha标定数值表.md","6299","A15531AECB139152806BAE4085AC0FA20A81F22B4A169D0424499BE2961F5E45"
"3、补充结果与图表\问题三消融与敏感性结果\q3_alpha_calibration\validation\alpha_calibration_independent.json","11923","DD127CD4C9406D610836204E4A46C144226AB6F3DD9D45608DB914B53737C7A7"
"3、补充结果与图表\问题三消融与敏感性结果\q3_alpha_five_point_sensitivity\实验说明.md","2459","C273169421D8E0FD77BE454052059A1623D3E34328669190E10F6AF6CA0FBD70"
"3、补充结果与图表\问题三消融与敏感性结果\q3_alpha_five_point_sensitivity\build_summary_workbook.mjs","8126","FFB212A389E5BA024956DA747A68735D12756F9D14AF776180F317F6CF35EDF8"
"3、补充结果与图表\问题三消融与敏感性结果\q3_alpha_five_point_sensitivity\results\q3_alpha_five_point_daily.csv","525528","6BA9DA20A27FB18179848FD3D1EE6A93A0CD383DA0A4BDE122C538F5BA18A5C9"
"3、补充结果与图表\问题三消融与敏感性结果\q3_alpha_five_point_sensitivity\results\q3_alpha_five_point_summary.csv","1433","67CC24710C1F19E3EFC16B9780C2AE86BA1EE04BC0C00F3514E9451B8135CA3C"
"3、补充结果与图表\问题三消融与敏感性结果\q3_alpha_five_point_sensitivity\results\q3_alpha_five_point_summary.xlsx","6944","E823B50D0E6DF69FCA8567D9E9609FFA3B7E538F462978C96D2BDB32D18D04A4"
"3、补充结果与图表\问题三消融与敏感性结果\q3_alpha_five_point_sensitivity\results\q3_alpha_five_point_summary.xlsx.inspect.ndjson","51594","25343C64A100C8E36F56715F38C17E33A5D88036685ECC7D0CB4663BA202DD18"
"3、补充结果与图表\问题三消融与敏感性结果\q3_alpha_five_point_sensitivity\results\results.csv","1424","4B8A2399D06A37BF59687AD97609B29C4D97304527EED583B3D3BB9CFAED9BD8"
"3、补充结果与图表\问题三消融与敏感性结果\q3_alpha_five_point_sensitivity\run_q3_alpha_five_point_sensitivity.py","10459","7A2103ECBAE307170610263CCB762CE10F8020511C2CE3427E779522874000E8"
"3、补充结果与图表\问题三消融与敏感性结果\q3_alpha_five_point_sensitivity\validation\q3_alpha_five_point_validation.json","23786","8D5D30A31334867554EF083C472B1704ADCD8B4F5F5A7CECFBA7F9122D857F72"
"3、补充结果与图表\问题三消融与敏感性结果\q3_alpha_five_point_sensitivity\validation\q3_alpha_five_point_workbook_validation.json","149","F703908FA75B28FB0EC62DA71002E97781FE66F5034DFE90E270DEFFD1303E72"
"3、补充结果与图表\问题三消融与敏感性结果\q3_alpha_five_point_sensitivity\verify_summary_workbook.mjs","1374","80F66767B5CF64CD6EF21D68155FB01AB567AF9BA3C64C31B0F867DF63597FDC"
"3、补充结果与图表\问题三消融与敏感性结果\q3_information_modules_alpha05\results.csv","3169","0D7B4519C953CB584B985D9536FD55EF2B087F571E05539953C90129014D6780"
"3、补充结果与图表\问题三消融与敏感性结果\q3_information_modules_alpha05\summary.md","2074","3668AF7366D72FEA8F9EA01F402E42E36426E18E1B8043E028B384EF2998E4CA"
"3、补充结果与图表\问题三消融与敏感性结果\q3_information_modules_alpha05\validation.json","12644","678F04EBE88ED83E2379C35DC07A65927D36CC84573CEC309611FB0878C47752"
"3、补充结果与图表\问题三消融与敏感性结果\q3_load_feedback_candidate_summary.json","24740","FD9CA04034F64058D453765D89235A80B67FBC72649530FCED9AE7DB8301878A"
"3、补充结果与图表\问题三消融与敏感性结果\q3_load_feedback_candidate_validation.json","3370","34345DFF5C73C4020593FF1314DE2F685EEDECD3E145D423FD7224CB7E1D48F7"
"3、补充结果与图表\问题三消融与敏感性结果\q3_update_combinations_alpha05\results.csv","2245","37394E00727413E1698D447981F03370D872AC5B6C95E21F7D88B616027CFC32"
"3、补充结果与图表\问题三消融与敏感性结果\q3_update_combinations_alpha05\summary.md","2062","7CD31A88C9B02C532F4B46A86BD4EC5911AF87458A61B2D4947EB8299878415D"
"3、补充结果与图表\问题三消融与敏感性结果\q3_update_combinations_alpha05\validation.json","11993","635A4C87F6B94BCA100595D1234C630F68D19390273CB220924F02528F785CF4"
"3、补充结果与图表\问题四补充比较结果\论文配图及脚本\fig_9_1_q4_price_hexbin.pdf","103953","4FF51D159CE0E838562D5255856B7A73949ADDE1B71C3AB1351A4588F6AD7C45"
"3、补充结果与图表\问题四补充比较结果\论文配图及脚本\fig_9_1_q4_price_hexbin.png","219099","F6C1E3C30BDD749B941CC43FC5A7DCFD4A1658D3D6528146C3B48C25E4D5DAC5"
"3、补充结果与图表\问题四补充比较结果\论文配图及脚本\fig_9_2_3_q4_dispatch.pdf","39181","E69A07C3EA8E69E2C8F45C367247E6B58C04297B0F39D97959871E39F2893C9E"
"3、补充结果与图表\问题四补充比较结果\论文配图及脚本\fig_9_2_3_q4_dispatch.png","216730","0B58C7AFDC0302F32CFEEA634F8BC7D05777F1B26CD7364EA1334456F406A28A"
"3、补充结果与图表\问题四补充比较结果\论文配图及脚本\fig_9_4_q4_reprice_dumbbell.pdf","17122","BE3250265365C1ABD18A19645B7554477BB927FC9C463C8E35F327EC538AC8F2"
"3、补充结果与图表\问题四补充比较结果\论文配图及脚本\fig_9_4_q4_reprice_dumbbell.png","93647","5EF82626B8BBE7215CC20E2B68DF6322CF1624F03F4F2EE19645FC28FAA15D9F"
"3、补充结果与图表\问题四补充比较结果\论文配图及脚本\generate_paper_figures.m","29925","A8C250FCC94839E84B4AB7DBACA6C8B7EBF72D81A2C597182440158F4A670B13"
"3、补充结果与图表\问题四补充比较结果\p0_a08_reoptimization_summary.json","10879","962DEB11D0B7670EAE0626061CFE6D36BF98D10EA47FA4C663DB38E21CF4B4CE"
"3、补充结果与图表\问题四补充比较结果\p2_alpha05_transfer_summary.json","6717","4B793705B05A75DC0E82A50073BA7225F19D919AD3DBE9D9DE9EB984D1A7BC22"
"3、补充结果与图表\问题四补充比较结果\p2_feedback_price_2x2_summary.json","9946","2BDC6E4CE407273B512B6AFB6782FE3CF580A55DF7A95587F47C1FA3FEDABD08"
"3、补充结果与图表\问题四补充比较结果\p2_monthly_2x2.csv","2154","4E48A62BFC7DC49A74BAA47468B557865025472F37A2884B5FF5CA2D57F259CF"
"3、补充结果与图表\问题四补充比较结果\p4_causal_reserve_by_day.csv","24765","16775FB8E9965D7010A904357056255762A8276C0C06F5EC74E70DBAFF1B7F40"
"3、补充结果与图表\问题四补充比较结果\p4_evening_soc_reserve_summary.json","7537","F1175C8DC549F197A2D19E4B0603D68975F713C5609020C4A008ABA9DED32BB0"
"3、补充结果与图表\问题四补充比较结果\p4_q4_2_monthly.csv","1434","D7513B002E4646AF82B1DEEDF66ACC9CD174D580BE7E70BAC822F297600A0903"
"3、补充结果与图表\问题四补充比较结果\p4_q4_3_monthly.csv","1387","5551B859D1B5D3C624A121AC85B7B45A73E9714388A6D6DBC7B874F1F8B04B6C"
"3、补充结果与图表\问题四补充比较结果\q3_q4_refinement_validation.json","35254","EA88C8101848B5C03210637FA551BFE1042DBC7CA9BD4C140B0C4F567C9813DF"
"3、补充结果与图表\问题四补充比较结果\refinement_decision_summary.json","3005","B289B53AC03A26CE70BFBF76434E05946BF09EEEE243EF7D84D43B27A44DF6FE"
"AI 工具使用详情.pdf","184878","E6389CB5FBDECAB0DCD7E90D93848465D2A85E606FA01C82855F84929CA05422"
